                                                 0,8 | 4,0        = PLAYER_WIN
                                            (7,4)1,8 | 0,2        = PLAYER_WIN
                                                 9,1 | 0,8        = BANKER_WIN
                                            (5,0)5,0 | (1,0)1,2   = PLAYER_WIN
                                            (4,0)4,0 | (0,0)0,5   = BANKER_WIN
                                                 0,4 | 6,3        = BANKER_WIN
                                            (1,1)2,5 | (0,0)0,0   = PLAYER_WIN
                                                 6,0 | (0,4)4,0   = PLAYER_WIN
                                                 0,7 | 9,0        = BANKER_WIN
                                            (7,3)0,2 | (5,9)4,1   = BANKER_WIN
                                            (2,0)2,5 | (2,3)5,0   = PLAYER_WIN
                                                 4,3 | (2,0)2,8   = PLAYER_WIN
                                                 0,9 | 9,7        = PLAYER_WIN
                                                 4,5 | 0,3        = PLAYER_WIN
                                            (3,0)3,1 | (6,7)3,0   = PLAYER_WIN
                                            (0,2)2,4 | (1,0)1,4   = PLAYER_WIN
                                            (6,9)5,0 | 7,9        = BANKER_WIN
                                            (4,8)2,6 | 0,3        = PLAYER_WIN
                                            (7,4)1,2 | (9,4)3,4   = BANKER_WIN
                                                 2,8 | 6,3        = BANKER_WIN
                                            (3,7)0,0 | (6,6)2,8   = TIE       
                                            (0,0)0,0 | (0,0)0,0   = TIE       
                                            (8,5)3,0 | 0,4        = BANKER_WIN
                                            (0,0)0,3 | (5,8)3,6   = BANKER_WIN
                                            (0,4)4,9 | 1,5        = BANKER_WIN
                                            (2,2)4,6 | 8,9        = BANKER_WIN
                                                 5,0 | 7,2        = BANKER_WIN
                                            (2,1)3,3 | 5,2        = BANKER_WIN
                                                 2,8 | 3,6        = BANKER_WIN
                                                 2,3 | 9,0        = BANKER_WIN
                                            (1,0)1,5 | (5,0)5,0   = PLAYER_WIN
                                            (0,1)1,7 | 0,5        = PLAYER_WIN
                                            (6,8)4,8 | 3,0        = BANKER_WIN
                                            (6,7)3,0 | 0,7        = BANKER_WIN
                                            (1,2)3,0 | (0,0)0,0   = PLAYER_WIN
                                                 0,9 | 6,0        = PLAYER_WIN
                                                 0,6 | 0,6        = TIE       
                                            (3,0)3,8 | (5,7)2,3   = BANKER_WIN
                                            (0,5)5,0 | 7,9        = BANKER_WIN
                                                 0,7 | (6,4)0,7   = TIE       
                                                 2,4 | 8,8        = TIE       
                                                 0,6 | (0,4)4,1   = PLAYER_WIN
                                            (0,0)0,3 | 0,5        = BANKER_WIN
                                                 5,1 | (3,9)2,0   = PLAYER_WIN
                                                     卡用完了，重新初始化!
                                                 6,0 | (4,0)4,9   = PLAYER_WIN
                                                 3,0 | 0,9        = BANKER_WIN
                                                 5,0 | 0,9        = BANKER_WIN
                                                 2,4 | (0,1)1,2   = PLAYER_WIN
                                                 0,0 | 6,2        = BANKER_WIN
                                                 8,8 | 3,3        = TIE       
                                            (0,3)3,0 | 7,0        = BANKER_WIN
                                            (0,1)1,0 | 8,9        = BANKER_WIN
                                            (9,4)3,1 | (3,8)1,3   = TIE       
                                            (0,4)4,6 | 0,7        = BANKER_WIN
                                            (4,0)4,5 | 5,5        = PLAYER_WIN
                                                 2,5 | 0,8        = BANKER_WIN
                                            (1,3)4,2 | 6,0        = TIE       
                                            (0,4)4,0 | 9,6        = BANKER_WIN
                                            (0,4)4,8 | (3,8)1,9   = PLAYER_WIN
                                            (3,0)3,0 | 0,7        = BANKER_WIN
                                                 1,6 | (5,0)5,2   = TIE       
                                            (0,2)2,5 | (1,4)5,6   = PLAYER_WIN
                                                 0,7 | (2,8)0,5   = PLAYER_WIN
                                            (1,9)0,9 | 2,0        = PLAYER_WIN
                                                 7,9 | 2,5        = BANKER_WIN
                                            (0,2)2,5 | (2,8)0,9   = BANKER_WIN
                                            (0,5)5,8 | (0,0)0,0   = PLAYER_WIN
                                            (1,0)1,0 | (3,9)2,5   = BANKER_WIN
                                            (5,7)2,0 | (3,8)1,3   = BANKER_WIN
                                                 9,0 | 0,6        = PLAYER_WIN
                                            (7,6)3,6 | 0,0        = PLAYER_WIN
                                                 1,5 | 7,0        = BANKER_WIN
                                            (6,7)3,8 | 0,3        = BANKER_WIN
                                                 0,6 | (9,3)2,0   = PLAYER_WIN
                                                 3,6 | 4,4        = PLAYER_WIN
                                            (2,8)0,0 | (0,0)0,7   = BANKER_WIN
                                            (1,0)1,8 | 0,0        = PLAYER_WIN
                                            (5,9)4,3 | 2,5        = TIE       
                                            (0,4)4,2 | (4,0)4,1   = PLAYER_WIN
                                                 0,6 | 1,8        = BANKER_WIN
                                                 0,8 | 5,0        = PLAYER_WIN
                                                 9,0 | 7,8        = PLAYER_WIN
                                            (1,0)1,8 | 1,5        = PLAYER_WIN
                                                 2,8 | 9,0        = BANKER_WIN
                                                 5,1 | (5,7)2,2   = PLAYER_WIN
                                                 7,2 | 1,0        = PLAYER_WIN
                                                 1,5 | 0,6        = TIE       
                                            (8,2)0,0 | (3,0)3,0   = BANKER_WIN
                                                 0,0 | 5,3        = BANKER_WIN
                                                 0,9 | 0,4        = PLAYER_WIN
                                            (6,8)4,6 | (0,3)3,8   = BANKER_WIN
                                                 0,8 | 0,6        = PLAYER_WIN
                                                 2,4 | 4,2        = TIE       
                                            (3,0)3,2 | (0,4)4,3   = BANKER_WIN
                                                 2,6 | 7,9        = PLAYER_WIN
                                                 5,0 | 9,0        = BANKER_WIN
                                                 9,3 | 9,9        = BANKER_WIN
                                                 1,7 | 2,4        = PLAYER_WIN
                                            (4,6)0,0 | (9,1)0,0   = TIE       
                                            (3,0)3,0 | 5,0        = BANKER_WIN
                                                 0,7 | 2,6        = BANKER_WIN
                                                 6,0 | (1,0)1,0   = PLAYER_WIN
                                                 4,0 | 8,1        = BANKER_WIN
                                            (6,7)3,0 | (0,0)0,0   = PLAYER_WIN
