                                                 9,0 | 7,0        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (A,4)5,4 | 6,1        = PLAYER_WIN | (BET) BANKER_WIN
                                                 1,7 | 2,8        = PLAYER_WIN | (BET) BANKER_WIN
                                                 6,0 | 6,0        = TIE        | (BET) BANKER_WIN
                                                 9,0 | 8,0        = PLAYER_WIN | (BET) BANKER_WIN
                                                 9,7 | (A,10)1,5  = TIE        | (BET) BANKER_WIN
                                            (7,8)5,A | 7,0        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 0,8 | 3,5        = TIE        | (BET) PLAYER_WIN
                                           (A,10)1,6 | 6,0        = PLAYER_WIN | (BET) BANKER_WIN
                                                 7,3 | 6,3        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (9,6)5,7 | (4,10)4,9  = BANKER_WIN | (BET) PLAYER_WIN
                                                 9,0 | 7,5        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 9,8 | (A,3)4,J   = PLAYER_WIN | (BET) BANKER_WIN
                                                 0,7 | 5,3        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 0,7 | 1,7        = BANKER_WIN | (BET) PLAYER_WIN
                                            (K,2)2,4 | (9,5)4,J   = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                           (10,2)2,A | (8,4)2,9   = PLAYER_WIN | (BET) BANKER_WIN
                                            (3,2)5,Q | 9,6        = TIE        | (BET) BANKER_WIN
                                            (4,Q)4,5 | 0,1        = PLAYER_WIN | (BET) BANKER_WIN
                                                 0,8 | 2,2        = PLAYER_WIN | (BET) BANKER_WIN
                                                 8,8 | (Q,K)0,4   = PLAYER_WIN | (BET) BANKER_WIN
                                                 0,1 | 4,4        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (A,2)3,9 | 4,3        = BANKER_WIN | (BET) PLAYER_WIN
                                            (A,A)2,K | (2,K)2,7   = BANKER_WIN | (BET) PLAYER_WIN
                                                 0,6 | (5,6)1,4   = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 6,2 | 5,3        = TIE        | (BET) BANKER_WIN
                                                 0,8 | 9,5        = PLAYER_WIN | (BET) BANKER_WIN
