                                                 7,1 | 0,5        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (K,3)3,Q | (6,7)3,8   = PLAYER_WIN | (BET) BANKER_WIN
                                                 0,7 | 0,6        = PLAYER_WIN | (BET) TIE       
                                                 4,5 | 5,0        = PLAYER_WIN | (BET) BANKER_WIN
                                            (9,3)2,Q | (J,J)0,4   = BANKER_WIN | (BET) TIE       
                                                 4,3 | (J,K)0,K   = PLAYER_WIN | (BET) BANKER_WIN
                                            (6,4)0,Q | 4,0        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                     卡用完了，重新初始化!
                                            (K,A)1,6 | (7,3)0,2   = PLAYER_WIN | (BET) BANKER_WIN
                                           (A,10)1,9 | (6,7)3,2   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 7,0 | 0,9        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (J,J)0,8 | 6,9        = PLAYER_WIN | (BET) TIE       
                                                 0,9 | 0,5        = PLAYER_WIN | (BET) BANKER_WIN
                                                 0,7 | 6,0        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                           (A,10)1,3 | 7,0        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                           (7,7)4,10 | 7,0        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (Q,3)3,9 | (J,3)3,2   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                           (3,9)2,10 | (K,A)1,2   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (2,8)0,9 | 1,0        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                           (10,2)2,4 | (2,9)1,3   = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 4,2 | (10,5)5,10 = PLAYER_WIN | (BET) BANKER_WIN
                                            (Q,J)0,K | (5,8)3,Q   = BANKER_WIN | (BET) PLAYER_WIN
                                            (9,6)5,Q | (K,Q)0,7   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 0,6 | 1,7        = BANKER_WIN | (BET) PLAYER_WIN
                                           (10,3)3,4 | (6,4)0,6   = PLAYER_WIN | (BET) BANKER_WIN
                                            (9,4)3,4 | (Q,5)5,2   = TIE        | (BET) PLAYER_WIN
                                                 0,0 | 9,0        = BANKER_WIN | (BET) PLAYER_WIN
                                                 0,7 | 8,1        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 0,6 | (6,6)2,9   = PLAYER_WIN | (BET) BANKER_WIN
                                            (6,8)4,A | (K,J)0,8   = BANKER_WIN | (BET) TIE       
                                            (J,2)2,Q | 0,4        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 7,1 | 8,5        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (5,Q)5,7 | (2,K)2,8   = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                           (3,10)3,9 | (7,5)2,9   = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (7,4)1,3 | 4,2        = BANKER_WIN | (BET) PLAYER_WIN
                                            (6,7)3,2 | 5,0        = TIE        | (BET) TIE        (HIT)
                                            (6,4)0,J | (6,5)1,4   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 0,9 | 0,6        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 8,8 | (J,10)0,5  = PLAYER_WIN | (BET) BANKER_WIN
                                            (Q,3)3,A | (10,4)4,2  = BANKER_WIN | (BET) TIE       
                                            (2,3)5,K | (9,3)2,5   = BANKER_WIN | (BET) PLAYER_WIN
                                                 8,0 | 0,2        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (9,3)2,J | (9,3)2,9   = PLAYER_WIN | (BET) BANKER_WIN
                                            (6,7)3,6 | 8,2        = PLAYER_WIN | (BET) TIE       
                                            (4,6)0,3 | 7,0        = BANKER_WIN | (BET) PLAYER_WIN
                                            (4,K)4,A | 0,7        = BANKER_WIN | (BET) PLAYER_WIN
                                          (10,10)0,A | 0,7        = BANKER_WIN | (BET) PLAYER_WIN
                                                 8,0 | 0,1        = PLAYER_WIN | (BET) BANKER_WIN
                                                 0,8 | 0,5        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (5,8)3,5 | 0,6        = PLAYER_WIN | (BET) BANKER_WIN
                                            (8,7)5,3 | 0,3        = PLAYER_WIN | (BET) BANKER_WIN
                                            (3,7)0,J | 3,2        = BANKER_WIN | (BET) PLAYER_WIN
                                            (K,A)1,J | (2,J)2,6   = BANKER_WIN | (BET) PLAYER_WIN
                                           (Q,10)0,2 | 2,4        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (K,4)4,5 | 0,7        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (4,A)5,Q | (Q,J)0,A   = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 3,7 | 9,0        = BANKER_WIN | (BET) PLAYER_WIN
                                                 9,5 | 0,8        = BANKER_WIN | (BET) TIE       
                                            (8,6)4,Q | 0,5        = BANKER_WIN | (BET) TIE       
                                           (10,J)0,8 | 4,9        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                           (10,Q)0,Q | (5,6)1,A   = BANKER_WIN | (BET) PLAYER_WIN
                                            (5,J)5,2 | (2,8)0,3   = PLAYER_WIN | (BET) BANKER_WIN
                                            (9,A)0,Q | 1,5        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                           (4,K)4,10 | (10,3)3,J  = PLAYER_WIN | (BET) BANKER_WIN
                                            (J,A)1,Q | (J,3)3,3   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (9,3)2,A | (10,10)0,Q = PLAYER_WIN | (BET) TIE       
                                            (3,Q)3,5 | 0,1        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (8,3)1,J | (8,5)3,6   = BANKER_WIN | (BET) PLAYER_WIN
                                                 8,0 | 2,6        = TIE        | (BET) PLAYER_WIN
                                            (4,6)0,2 | (4,J)4,2   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (A,Q)1,4 | (A,10)1,2  = PLAYER_WIN | (BET) BANKER_WIN
                                            (7,8)5,7 | 3,2        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 0,8 | 9,0        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 8,9 | (A,10)1,4  = PLAYER_WIN | (BET) BANKER_WIN
                                                 6,5 | 8,0        = BANKER_WIN | (BET) PLAYER_WIN
                                            (J,4)4,5 | 0,0        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (4,7)1,2 | (3,7)0,Q   = PLAYER_WIN | (BET) BANKER_WIN
                                                 1,5 | 0,9        = BANKER_WIN | (BET) PLAYER_WIN
                                           (K,10)0,4 | (J,K)0,J   = PLAYER_WIN | (BET) BANKER_WIN
                                            (6,7)3,4 | (A,A)2,5   = TIE        | (BET) PLAYER_WIN
                                                 4,4 | 3,8        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (K,A)1,3 | (10,Q)0,6  = BANKER_WIN | (BET) PLAYER_WIN
                                                 9,5 | 1,8        = BANKER_WIN | (BET) TIE       
                                            (5,9)4,Q | 8,6        = TIE        | (BET) PLAYER_WIN
                                                 7,1 | 1,6        = PLAYER_WIN | (BET) BANKER_WIN
                                                 5,2 | 5,3        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 2,6 | 8,4        = PLAYER_WIN | (BET) BANKER_WIN
                                            (7,5)2,Q | (9,4)3,2   = BANKER_WIN | (BET) PLAYER_WIN
                                                 9,9 | 0,4        = PLAYER_WIN | (BET) BANKER_WIN
                                                     卡用完了，重新初始化!
                                            (7,8)5,4 | 5,0        = PLAYER_WIN | (BET) BANKER_WIN
                                            (2,Q)2,Q | 7,9        = BANKER_WIN | (BET) PLAYER_WIN
