                                                 6,2 | 0,2        = PLAYER_WIN | (NO BET)
                                            (A,J)1,2 | 4,3        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 2,6 | 6,0        = PLAYER_WIN | (NO BET)
                                                 7,0 | 6,0        = PLAYER_WIN | (NO BET)
                                                 9,7 | (J,3)3,6   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 0,9 | 1,0        = PLAYER_WIN | (NO BET)
                                                 8,4 | 5,4        = BANKER_WIN | (NO BET)
                                            (5,9)4,5 | 6,4        = PLAYER_WIN | (NO BET)
                                                 7,0 | 4,3        = TIE        | (NO BET)
                                            (Q,4)4,9 | (J,J)0,3   = TIE        | (NO BET)
                                                 7,1 | 2,4        = PLAYER_WIN | (BET) BANKER_WIN
                                            (2,3)5,7 | (6,7)3,6   = BANKER_WIN | (NO BET)
                                                 5,2 | (4,Q)4,6   = PLAYER_WIN | (NO BET)
                                            (J,K)0,3 | (6,6)2,J   = PLAYER_WIN | (NO BET)
                                           (K,4)4,10 | (8,4)2,2   = TIE        | (BET) BANKER_WIN
                                                 0,0 | 0,9        = BANKER_WIN | (NO BET)
                                           (2,K)2,10 | (2,10)2,9  = PLAYER_WIN | (NO BET)
                                           (Q,Q)0,10 | 1,3        = BANKER_WIN | (NO BET)
                                            (A,J)1,4 | (A,2)3,8   = PLAYER_WIN | (NO BET)
                                                 3,4 | (Q,A)1,4   = PLAYER_WIN | (NO BET)
                                                 3,9 | 9,0        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (2,Q)2,6 | 3,4        = PLAYER_WIN | (NO BET)
                                           (10,A)1,4 | (7,3)0,J   = PLAYER_WIN | (NO BET)
                                                 7,9 | 5,4        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                          (10,2)2,10 | (4,7)1,6   = BANKER_WIN | (NO BET)
                                                 5,1 | (8,7)5,A   = TIE        | (BET) PLAYER_WIN
                                            (A,4)5,A | (2,10)2,J  = PLAYER_WIN | (NO BET)
                                           (K,10)0,5 | (K,J)0,2   = PLAYER_WIN | (NO BET)
                                            (J,K)0,K | (K,J)0,6   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (A,3)4,8 | 3,0        = BANKER_WIN | (NO BET)
                                                 4,4 | 2,3        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (5,Q)5,6 | (A,A)2,6   = BANKER_WIN | (NO BET)
                                                 0,8 | 1,6        = PLAYER_WIN | (NO BET)
                                                 4,4 | 7,6        = PLAYER_WIN | (NO BET)
                                            (J,Q)0,Q | (A,2)3,7   = TIE        | (BET) BANKER_WIN
                                                 0,7 | (9,A)0,8   = BANKER_WIN | (NO BET)
                                                 6,3 | 3,5        = PLAYER_WIN | (NO BET)
                                            (A,A)2,2 | 0,5        = BANKER_WIN | (NO BET)
                                                 7,0 | 3,5        = BANKER_WIN | (NO BET)
                                                 2,4 | (8,4)2,4   = TIE        | (BET) PLAYER_WIN
                                                 8,0 | 9,6        = PLAYER_WIN | (NO BET)
                                            (2,3)5,J | (8,2)0,8   = BANKER_WIN | (NO BET)
                                           (K,Q)0,10 | 6,0        = BANKER_WIN | (NO BET)
                                            (3,K)3,J | 0,6        = BANKER_WIN | (BET) PLAYER_WIN
                                                 0,0 | 0,8        = BANKER_WIN | (BET) PLAYER_WIN
                                                 6,2 | 0,7        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 5,4 | 4,7        = PLAYER_WIN | (NO BET)
                                                 2,0 | 9,0        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 6,0 | 9,8        = BANKER_WIN | (NO BET)
                                            (2,8)0,2 | (A,9)0,K   = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (Q,3)3,7 | (A,9)0,9   = BANKER_WIN | (NO BET)
                                            (K,J)0,Q | (5,7)2,Q   = BANKER_WIN | (NO BET)
                                            (5,9)4,3 | (A,9)0,5   = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 6,0 | 0,7        = BANKER_WIN | (NO BET)
                                            (6,8)4,3 | (3,7)0,Q   = PLAYER_WIN | (NO BET)
                                                 7,1 | 0,8        = TIE        | (NO BET)
                                            (K,Q)0,J | 8,7        = BANKER_WIN | (NO BET)
                                            (K,3)3,8 | 0,5        = BANKER_WIN | (NO BET)
                                            (5,9)4,8 | 5,0        = BANKER_WIN | (BET) PLAYER_WIN
                                            (5,J)5,4 | 0,3        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 5,9 | 0,9        = BANKER_WIN | (NO BET)
                                            (4,Q)4,Q | 4,0        = TIE        | (NO BET)
                                                 8,0 | 8,8        = PLAYER_WIN | (NO BET)
                                            (K,K)0,J | 0,7        = BANKER_WIN | (NO BET)
                                                 1,7 | 5,8        = PLAYER_WIN | (NO BET)
                                           (10,3)3,2 | (5,5)0,3   = PLAYER_WIN | (NO BET)
                                            (Q,5)5,3 | 2,2        = PLAYER_WIN | (BET) BANKER_WIN
                                                     卡用完了，重新初始化!                                            (K,Q)0,Q | (8,5)3,K   = BANKER_WIN | (BET) BANKER_WIN (HIT)

                                           (10,Q)0,K | (2,8)0,6   = BANKER_WIN | (NO BET)
                                                 3,4 | (10,J)0,8  = BANKER_WIN | (BET) PLAYER_WIN
                                                 4,4 | 0,5        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 3,0 | 9,0        = BANKER_WIN | (NO BET)
                                                 3,3 | 6,0        = TIE        | (NO BET)
                                                 1,9 | 8,0        = BANKER_WIN | (NO BET)
                                            (5,Q)5,A | (4,6)0,3   = PLAYER_WIN | (NO BET)
                                           (J,J)0,10 | 0,5        = BANKER_WIN | (NO BET)
                                            (J,J)0,8 | 4,0        = PLAYER_WIN | (NO BET)
                                           (10,5)5,Q | 5,0        = TIE        | (NO BET)
                                            (3,9)2,J | (5,7)2,7   = BANKER_WIN | (NO BET)
                                           (10,3)3,7 | 5,0        = BANKER_WIN | (NO BET)
                                                 1,5 | (A,10)1,J  = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (3,A)4,7 | (4,8)2,J   = BANKER_WIN | (NO BET)
                                                 6,1 | 9,0        = BANKER_WIN | (NO BET)
                                                 6,0 | 6,0        = TIE        | (BET) PLAYER_WIN
                                            (J,2)2,9 | 2,2        = BANKER_WIN | (NO BET)
                                          (K,10)0,10 | (3,9)2,5   = BANKER_WIN | (NO BET)
                                                 9,9 | 0,0        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (J,3)3,5 | 4,0        = PLAYER_WIN | (NO BET)
                                                 4,2 | 3,6        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 0,6 | 0,6        = TIE        | (NO BET)
                                            (5,6)1,Q | 1,3        = BANKER_WIN | (NO BET)
                                                 2,5 | 2,7        = BANKER_WIN | (NO BET)
                                                 1,8 | 9,0        = TIE        | (BET) PLAYER_WIN
                                            (Q,5)5,6 | (7,3)0,6   = BANKER_WIN | (NO BET)
                                                 0,7 | 1,8        = BANKER_WIN | (NO BET)
                                                 7,0 | (7,7)4,4   = BANKER_WIN | (BET) PLAYER_WIN
                                            (2,8)0,6 | (10,K)0,2  = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (J,A)1,A | (5,6)1,2   = BANKER_WIN | (NO BET)
                                            (J,3)3,J | (10,3)3,2  = BANKER_WIN | (NO BET)
                                                 4,4 | 5,6        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (9,4)3,6 | 6,6        = PLAYER_WIN | (NO BET)
                                                 0,9 | 0,1        = PLAYER_WIN | (BET) BANKER_WIN
                                                 5,3 | 1,8        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 5,4 | 0,0        = PLAYER_WIN | (NO BET)
                                                 8,9 | 7,0        = TIE        | (NO BET)
                                            (K,3)3,J | 0,5        = BANKER_WIN | (NO BET)
                                            (A,9)0,8 | 2,2        = PLAYER_WIN | (NO BET)
                                                 4,4 | 7,0        = PLAYER_WIN | (NO BET)
                                                 0,8 | 7,1        = TIE        | (BET) BANKER_WIN
                                            (5,7)2,9 | 4,0        = BANKER_WIN | (NO BET)
                                                 0,9 | 8,0        = PLAYER_WIN | (NO BET)
                                                 2,2 | 8,0        = BANKER_WIN | (NO BET)
                                            (K,3)3,6 | 3,0        = PLAYER_WIN | (NO BET)
                                            (7,4)1,Q | (6,4)0,Q   = PLAYER_WIN | (NO BET)
                                                 0,8 | 8,3        = PLAYER_WIN | (BET) BANKER_WIN
                                            (J,A)1,3 | 4,2        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 0,0 | 2,6        = BANKER_WIN | (NO BET)
                                            (J,A)1,3 | (7,6)3,5   = BANKER_WIN | (BET) PLAYER_WIN
                                            (8,7)5,K | (A,Q)1,5   = BANKER_WIN | (BET) PLAYER_WIN
                                                 6,0 | 0,8        = BANKER_WIN | (BET) PLAYER_WIN
                                                 1,5 | (A,2)3,2   = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 7,9 | 7,0        = BANKER_WIN | (NO BET)
                                                 7,2 | 5,0        = PLAYER_WIN | (NO BET)
                                            (A,J)1,9 | (2,K)2,2   = BANKER_WIN | (NO BET)
                                                 9,0 | 2,2        = PLAYER_WIN | (NO BET)
                                            (6,7)3,2 | (J,Q)0,4   = PLAYER_WIN | (NO BET)
                                                 7,0 | (10,5)5,8  = PLAYER_WIN | (BET) BANKER_WIN
                                            (3,A)4,6 | (6,5)1,5   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (6,8)4,6 | (10,Q)0,7  = BANKER_WIN | (NO BET)
                                                 0,9 | 7,0        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (J,J)0,K | (4,9)3,10  = BANKER_WIN | (NO BET)
                                            (3,Q)3,3 | 0,7        = BANKER_WIN | (NO BET)
                                                 5,4 | 9,7        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (9,2)1,K | 0,7        = BANKER_WIN | (NO BET)
                                                 4,5 | 0,1        = PLAYER_WIN | (NO BET)
                                                 0,7 | 8,9        = TIE        | (NO BET)
                                                 9,1 | 9,0        = BANKER_WIN | (NO BET)
                                            (5,Q)5,Q | (10,A)1,10 = PLAYER_WIN | (NO BET)
                                                 9,1 | 0,8        = BANKER_WIN | (NO BET)
                                            (Q,3)3,4 | (K,Q)0,7   = TIE        | (NO BET)
                                                 9,8 | (4,10)4,K  = PLAYER_WIN | (NO BET)
                                            (6,5)1,7 | 0,4        = PLAYER_WIN | (NO BET)
                                                 3,4 | 0,8        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (8,2)0,3 | (8,6)4,J   = BANKER_WIN | (NO BET)
                                                 1,8 | 5,0        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (9,A)0,4 | 2,3        = BANKER_WIN | (NO BET)
                                            (9,A)0,8 | 0,0        = PLAYER_WIN | (NO BET)
                                                 3,4 | 9,0        = BANKER_WIN | (NO BET)
                                            (A,J)1,3 | (Q,2)2,6   = BANKER_WIN | (NO BET)
                                            (4,Q)4,4 | 0,6        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 9,0 | 2,2        = PLAYER_WIN | (NO BET)
                                                 8,3 | 8,0        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 0,7 | 0,7        = TIE        | (NO BET)
                                            (4,9)3,8 | 1,5        = BANKER_WIN | (NO BET)
                                                 1,8 | 2,0        = PLAYER_WIN | (NO BET)
                                                     卡用完了，重新初始化!
                                            (5,K)5,4 | 7,3        = PLAYER_WIN | (NO BET)
                                           (J,10)0,7 | (A,4)5,9   = PLAYER_WIN | (BET) BANKER_WIN
                                            (5,K)5,9 | (5,5)0,6   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 0,4 | 2,6        = BANKER_WIN | (NO BET)
                                            (Q,3)3,A | 8,7        = BANKER_WIN | (BET) PLAYER_WIN
                                                 8,0 | 4,9        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 4,7 | 0,9        = BANKER_WIN | (NO BET)
                                                 9,0 | 5,8        = PLAYER_WIN | (NO BET)
                                                 5,1 | 3,6        = BANKER_WIN | (NO BET)
                                                 7,0 | (A,3)4,Q   = PLAYER_WIN | (NO BET)
                                           (6,9)5,10 | 0,7        = BANKER_WIN | (NO BET)
                                                 2,4 | (A,2)3,4   = BANKER_WIN | (NO BET)
                                                 6,0 | (A,10)1,5  = TIE        | (BET) PLAYER_WIN
                                            (7,3)0,7 | (8,5)3,3   = PLAYER_WIN | (NO BET)
                                            (2,K)2,6 | 1,0        = PLAYER_WIN | (NO BET)
                                                 8,0 | 4,4        = TIE        | (BET) BANKER_WIN
                                                 8,9 | (2,K)2,2   = PLAYER_WIN | (NO BET)
                                           (10,K)0,J | (2,K)2,10  = BANKER_WIN | (NO BET)
                                                 4,2 | (K,3)3,5   = BANKER_WIN | (NO BET)
                                                 8,0 | 5,1        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (7,6)3,A | 3,2        = BANKER_WIN | (NO BET)
                                            (8,5)3,9 | (5,6)1,9   = PLAYER_WIN | (NO BET)
                                            (K,Q)0,2 | (K,3)3,J   = BANKER_WIN | (NO BET)
                                           (10,J)0,Q | (9,4)3,8   = BANKER_WIN | (NO BET)
                                            (3,J)3,Q | (Q,3)3,5   = BANKER_WIN | (BET) PLAYER_WIN
                                                 3,4 | 4,5        = BANKER_WIN | (BET) PLAYER_WIN
                                                 4,2 | (7,4)1,Q   = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 8,0 | 0,9        = BANKER_WIN | (NO BET)
                                            (Q,J)0,6 | (Q,J)0,5   = PLAYER_WIN | (NO BET)
                                                 8,0 | 6,5        = PLAYER_WIN | (NO BET)
                                                 3,8 | 0,8        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 0,8 | 5,6        = PLAYER_WIN | (NO BET)
                                            (7,3)0,5 | (9,4)3,6   = BANKER_WIN | (NO BET)
                                                 0,8 | 0,0        = PLAYER_WIN | (NO BET)
                                                 0,6 | (A,10)1,9  = PLAYER_WIN | (NO BET)
                                            (2,J)2,A | 0,5        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 3,0 | 4,4        = BANKER_WIN | (NO BET)
                                            (J,A)1,8 | 0,7        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (8,3)1,6 | 0,6        = PLAYER_WIN | (NO BET)
                                            (2,J)2,2 | (J,2)2,4   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 7,0 | (10,5)5,4  = BANKER_WIN | (NO BET)
