                                                 9,0 | 7,7        = PLAYER_WIN | (NO BET)
                                           (8,3)1,10 | 6,0        = BANKER_WIN | (NO BET)
                                          (10,J)0,10 | (J,2)2,J   = BANKER_WIN | (NO BET)
                                            (4,6)0,J | 5,0        = BANKER_WIN | (NO BET)
                                                 5,0 | 8,0        = BANKER_WIN | (BET) PLAYER_WIN
                                                 9,0 | 6,0        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 0,6 | 1,7        = BANKER_WIN | (NO BET)
                                                 2,4 | 7,0        = BANKER_WIN | (NO BET)
                                            (8,3)1,8 | 1,0        = PLAYER_WIN | (NO BET)
                                                 6,9 | 0,8        = BANKER_WIN | (NO BET)
                                                 2,5 | (8,2)0,2   = PLAYER_WIN | (NO BET)
                                                 5,1 | 0,9        = BANKER_WIN | (NO BET)
                                            (A,A)2,7 | 3,2        = PLAYER_WIN | (NO BET)
                                                 8,1 | 3,0        = PLAYER_WIN | (NO BET)
                                                 5,0 | 4,5        = BANKER_WIN | (NO BET)
                                            (J,5)5,6 | 6,0        = BANKER_WIN | (NO BET)
                                            (8,7)5,8 | 4,0        = BANKER_WIN | (NO BET)
                                            (7,8)5,Q | (10,K)0,9  = BANKER_WIN | (BET) PLAYER_WIN
                                                 6,0 | (10,4)4,2  = TIE        | (BET) PLAYER_WIN
                                                 7,9 | (3,Q)3,3   = TIE        | (NO BET)
                                            (8,3)1,3 | 0,5        = BANKER_WIN | (NO BET)
                                                 5,0 | 0,8        = BANKER_WIN | (NO BET)
                                           (10,2)2,2 | (Q,4)4,A   = BANKER_WIN | (NO BET)
                                            (J,A)1,7 | 7,7        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                           (J,10)0,Q | (K,K)0,K   = TIE        | (NO BET)
                                                 9,7 | 6,1        = BANKER_WIN | (NO BET)
                                                 0,8 | 4,2        = PLAYER_WIN | (NO BET)
                                                 5,9 | 8,0        = BANKER_WIN | (NO BET)
                                            (4,6)0,4 | 1,6        = BANKER_WIN | (NO BET)
                                            (4,9)3,8 | (J,A)1,7   = BANKER_WIN | (NO BET)
                                           (K,4)4,10 | (A,J)1,10  = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (A,2)3,2 | 6,0        = BANKER_WIN | (NO BET)
                                            (Q,Q)0,3 | (10,A)1,3  = BANKER_WIN | (NO BET)
                                                 7,0 | (9,3)2,Q   = PLAYER_WIN | (NO BET)
                                            (3,2)5,A | (8,5)3,9   = PLAYER_WIN | (NO BET)
                                            (8,5)3,5 | 5,2        = PLAYER_WIN | (NO BET)
                                            (Q,4)4,8 | (3,8)1,4   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 5,2 | (5,Q)5,7   = PLAYER_WIN | (NO BET)
                                            (5,5)0,J | 4,2        = BANKER_WIN | (NO BET)
                                            (J,A)1,8 | 0,6        = PLAYER_WIN | (NO BET)
                                                 5,2 | 7,0        = TIE        | (NO BET)
                                                 3,3 | (2,2)4,5   = BANKER_WIN | (NO BET)
                                                 7,0 | (8,4)2,4   = PLAYER_WIN | (NO BET)
                                                 0,0 | 0,9        = BANKER_WIN | (NO BET)
                                                 0,9 | 0,0        = PLAYER_WIN | (NO BET)
                                                 7,0 | (J,4)4,Q   = PLAYER_WIN | (NO BET)
                                                 6,0 | 4,4        = BANKER_WIN | (NO BET)
                                            (4,K)4,3 | (9,A)0,Q   = PLAYER_WIN | (NO BET)
                                                 0,9 | 5,8        = PLAYER_WIN | (NO BET)
                                                 4,0 | 9,9        = BANKER_WIN | (NO BET)
                                            (6,7)3,A | 0,6        = BANKER_WIN | (NO BET)
                                                 0,8 | 2,6        = TIE        | (NO BET)
                                                 8,0 | 8,3        = PLAYER_WIN | (NO BET)
                                           (10,A)1,7 | 0,6        = PLAYER_WIN | (NO BET)
                                                 6,3 | 9,9        = PLAYER_WIN | (NO BET)
                                            (7,8)5,3 | 0,1        = PLAYER_WIN | (BET) BANKER_WIN
                                                 5,0 | 0,9        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (3,9)2,9 | 5,0        = BANKER_WIN | (NO BET)
                                                 3,4 | (3,A)4,K   = PLAYER_WIN | (NO BET)
                                                 1,6 | 7,0        = TIE        | (NO BET)
                                                 7,0 | (2,K)2,6   = BANKER_WIN | (NO BET)
                                            (3,Q)3,9 | 0,7        = BANKER_WIN | (NO BET)
                                                 4,7 | 9,0        = BANKER_WIN | (NO BET)
                                                 0,8 | 4,6        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (8,2)0,K | 0,4        = BANKER_WIN | (NO BET)
                                            (9,3)2,7 | 5,0        = PLAYER_WIN | (NO BET)
                                            (K,Q)0,Q | 3,2        = BANKER_WIN | (NO BET)
                                            (3,K)3,2 | 6,1        = BANKER_WIN | (NO BET)
                                                 5,1 | 6,0        = TIE        | (NO BET)
                                                 6,0 | 9,7        = TIE        | (NO BET)
                                            (2,2)4,A | (6,7)3,5   = BANKER_WIN | (NO BET)
                                                 9,9 | 3,4        = PLAYER_WIN | (NO BET)
                                                 2,6 | 0,1        = PLAYER_WIN | (NO BET)
