totalRound:1000
                                                 9,9 | 2,0        = PLAYER_WIN | (NO BET,BALANCE|9800)
                                                 0,8 | 3,3        = PLAYER_WIN | (BET|-200,BALANCE|9600) BANKER_WIN
                                                 0,2 | 9,0        = BANKER_WIN | (BET|-200,WIN,BALANCE|9800) BANKER_WIN (HIT)
                                            (6,5)1,7 | 5,7        = PLAYER_WIN | (BET|-200,WIN,BALANCE|10000) PLAYER_WIN (HIT)
                                                 6,0 | (8,7)5,K   = PLAYER_WIN | (BET|-200,BALANCE|9800) BANKER_WIN
                                                 8,8 | (3,A)4,A   = PLAYER_WIN | (BET|-200,BALANCE|9600) BANKER_WIN
                                            (J,Q)0,A | (7,5)2,K   = BANKER_WIN | (BET|-200,WIN,BALANCE|9800) BANKER_WIN (HIT)
                                                 7,2 | 6,0        = PLAYER_WIN | (BET|-200,WIN,BALANCE|10000) PLAYER_WIN (HIT)
                                           (K,K)0,10 | (6,7)3,4   = BANKER_WIN | (BET|-200,WIN,BALANCE|10200) BANKER_WIN (HIT)
                                                 0,8 | 6,7        = PLAYER_WIN | (BET|-200,WIN,BALANCE|10400) PLAYER_WIN (HIT)
                                           (J,10)0,8 | 0,4        = PLAYER_WIN | (BET|-200,BALANCE|10200) BANKER_WIN
                                            (3,J)3,J | (2,J)2,A   = TIE        | (BET|-200,BALANCE|10000) BANKER_WIN
                                           (8,5)3,10 | (J,Q)0,8   = BANKER_WIN | (BET|-200,WIN,BALANCE|10200) BANKER_WIN (HIT)
                                                 6,0 | 0,9        = BANKER_WIN | (BET|-200,BALANCE|10000) PLAYER_WIN
                                                 1,8 | 9,0        = TIE        | (BET|-200,BALANCE|9800) PLAYER_WIN
                                            (Q,2)2,J | (10,K)0,9  = BANKER_WIN | (BET|-200,BALANCE|9600) PLAYER_WIN
                                                 0,8 | 5,9        = PLAYER_WIN | (BET|-200,WIN,BALANCE|9800) PLAYER_WIN (HIT)
                                            (3,A)4,Q | 8,7        = BANKER_WIN | (BET|-200,WIN,BALANCE|10000) BANKER_WIN (HIT)
                                            (9,6)5,6 | (10,J)0,3  = BANKER_WIN | (BET|-200,BALANCE|9800) PLAYER_WIN
                                                 0,2 | 9,0        = BANKER_WIN | (BET|-200,BALANCE|9600) PLAYER_WIN
                                                 0,7 | (4,J)4,3   = TIE        | (BET|-200,BALANCE|9400) PLAYER_WIN
                                                 0,8 | 6,0        = PLAYER_WIN | (BET|-200,WIN,BALANCE|9600) PLAYER_WIN (HIT)
                                                 4,4 | 0,6        = PLAYER_WIN | (BET|-200,BALANCE|9400) BANKER_WIN
                                            (2,Q)2,3 | 0,6        = BANKER_WIN | (BET|-200,WIN,BALANCE|9600) BANKER_WIN (HIT)
                                                 5,0 | 3,5        = BANKER_WIN | (BET|-200,BALANCE|9400) PLAYER_WIN
                                            (3,A)4,A | (9,A)0,3   = PLAYER_WIN | (BET|-200,WIN,BALANCE|9600) PLAYER_WIN (HIT)
                                                 2,6 | 2,6        = TIE        | (BET|-200,BALANCE|9400) BANKER_WIN
                                                 0,9 | 2,0        = PLAYER_WIN | (BET|-200,BALANCE|9200) BANKER_WIN
                                                 3,5 | 0,0        = PLAYER_WIN | (BET|-200,BALANCE|9000) BANKER_WIN
                                            (6,4)0,9 | 3,7        = PLAYER_WIN | (BET|-200,BALANCE|8800) BANKER_WIN
                                           (Q,5)5,10 | (10,10)0,2 = PLAYER_WIN | (BET|-200,BALANCE|8600) BANKER_WIN
                                                 0,7 | 6,0        = PLAYER_WIN | (BET|-200,BALANCE|8400) BANKER_WIN
                                           (10,J)0,J | 3,2        = BANKER_WIN | (BET|-200,WIN,BALANCE|8600) BANKER_WIN (HIT)
                                            (Q,K)0,9 | 3,0        = PLAYER_WIN | (BET|-200,WIN,BALANCE|8800) PLAYER_WIN (HIT)
                                            (K,Q)0,8 | 7,8        = PLAYER_WIN | (BET|-200,BALANCE|8600) BANKER_WIN
                                                 4,2 | (4,6)0,K   = PLAYER_WIN | (BET|-200,BALANCE|8400) BANKER_WIN
                                            (5,7)2,3 | (2,J)2,6   = BANKER_WIN | (BET|-200,WIN,BALANCE|8600) BANKER_WIN (HIT)
                                                 4,0 | 0,8        = BANKER_WIN | (BET|-200,BALANCE|8400) PLAYER_WIN
                                            (4,K)4,5 | 3,4        = PLAYER_WIN | (BET|-200,WIN,BALANCE|8600) PLAYER_WIN (HIT)
